family,source,rho,ratio,n,chaotic_like_count,chaotic_like_fraction,classes,chaos_score_mean,chaos_score_min,chaos_score_max,broadband_chaos_score_mean,broadband_chaos_score_min,broadband_chaos_score_max,spectral_entropy_mean,spectral_entropy_min,spectral_entropy_max,top5_power_fraction_mean,top5_power_fraction_min,top5_power_fraction_max,max_diag_fraction_mean,max_diag_fraction_min,max_diag_fraction_max,neighbor_divergence_slope_mean,neighbor_divergence_slope_min,neighbor_divergence_slope_max,neighbor_divergence_gain_mean,neighbor_divergence_gain_min,neighbor_divergence_gain_max,regime
spheroid_1_0p7_0p7,spheroid_exact,0.25,20.0,5,0,0.0,periodic;periodic;periodic;periodic;periodic,0.109027606693235,0.07193407380204889,0.15513664877135427,0.1706102555472505,0.10153780503036017,0.26315143421659737,0.21242537984860038,0.1552344917009962,0.2737679300112266,0.9495695316291315,0.8960645212450923,0.9836329466941429,0.9388187783947501,0.8944977284199899,0.9742554265522464,0.011196280532247116,-0.00024003635716056908,0.033814796642490916,0.03929248089332771,-0.003387489265035626,0.12013209925947721,regular-regime
spheroid_1_0p7_0p7,spheroid_exact,4.0,1.0,5,0,0.0,periodic;periodic;periodic;periodic;periodic,0.11623368677996995,0.046989794865648984,0.18639728697388677,0.08340897190733751,0.08083214039827792,0.08598622338784656,0.13107124156867325,0.1270219349115796,0.13512120818090176,0.9990883165517506,0.9984917594469646,0.9996012572570987,0.9357900050479555,0.9156991418475517,0.9702170620898536,0.0784491951378922,-0.0005912956964118753,0.16782577517104183,0.29287689980046927,0.005158401446149874,0.5500324089390034,regular-regime
spheroid_1_0p7_0p7,spheroid_nd2,0.25,20.0,5,0,0.0,periodic;periodic;periodic;periodic;periodic,0.10562665530751744,0.06462252190099756,0.1602635147210137,0.17236635028166133,0.10248287879659924,0.26644088240623387,0.21230519040135176,0.1545009316631942,0.2740471106127027,0.9490854822346615,0.8929527334382132,0.9917426476682224,0.9281171125694094,0.8647147905098436,0.9742554265522464,0.006109115568722899,-2.9469380064475048e-05,0.018192717878266335,0.02020711956208592,-0.0028572958679680127,0.06665254428020284,regular-regime
spheroid_1_0p7_0p7,spheroid_nd2,4.0,1.0,5,0,0.0,periodic;periodic;periodic;periodic;periodic,0.11845708132533155,0.06599281441605664,0.19428459864391864,0.08395459161257636,0.08096808244620164,0.08696090446146178,0.13192864396262,0.12723555812974546,0.13665284986801138,0.9989904927225034,0.9983426529828523,0.9995766458074844,0.9356890459363957,0.9151943462897526,0.9702170620898536,0.08091102541167358,0.0031389307573662056,0.17578014385550944,0.30027516269451127,0.061762909032471836,0.5789498869498164,regular-regime
triaxial_1_0p8_0p6,triaxial_exact,0.25,20.0,5,5,1.0,chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like,0.739724723708637,0.43572113351056974,0.92226148409894,0.6763397452173415,0.31233042183827564,0.9352179034157833,0.4001837597713621,0.1907738446999792,0.5630643015343086,0.578228464012265,0.2733096579824968,0.9327557008253522,0.110550227158001,0.0757193336698637,0.19636547198384655,0.34150675833790695,0.2266417017679274,0.40006755380058684,1.28138778076127,0.8561875004191587,1.4919991535281216,chaotic-regime
triaxial_1_0p8_0p6,triaxial_exact,4.0,1.0,5,0,0.0,quasi-periodic;sensitive-regular;periodic;sensitive-regular;sensitive-regular,0.38943665304507596,0.11573056523064636,0.555845824758939,0.2323245918656124,0.10687558752312415,0.3277008814208317,0.18090695764800935,0.14534410617854449,0.20111505158909138,0.9807739276909265,0.9695242590238953,0.9973598020690407,0.29863705199394247,0.07269056032306916,0.93891973750631,0.2793073968525854,0.06646356655479162,0.44566620753177155,1.0111378093124832,0.21427017654322467,1.5770485383770212,regular-regime
triaxial_1_0p8_0p6,triaxial_nd2,0.25,20.0,5,4,0.8,quasi-periodic;chaotic-like;chaotic-like;chaotic-like;chaotic-like,0.6583401713150869,0.29209552122909777,0.9351106113011485,0.595885831442794,0.22507003892431574,0.9410456226122781,0.371385627039215,0.20244158324026945,0.5622448941882249,0.6485719515486101,0.2728761945244445,0.9498787519278472,0.13518425037859666,0.05956587582029278,0.22665320545179202,0.31541433036781025,0.14413039931895313,0.4199434177396665,1.171282135846798,0.5111762579803798,1.6493058423418439,chaotic-regime
triaxial_1_0p8_0p6,triaxial_nd2,4.0,1.0,5,0,0.0,quasi-periodic;sensitive-regular;periodic;sensitive-regular;complex-regular,0.3824715232478713,0.11169170768502491,0.5524458836094659,0.23012679882311488,0.11002688462744921,0.3352755271133984,0.18172674811295533,0.146251921849373,0.20031561928924974,0.977209137990976,0.9506373891984135,0.9974622764679121,0.3051993942453306,0.07773851590106007,0.93891973750631,0.25802497482292525,0.05883164182443342,0.39432937547662616,0.9487904033575404,0.19403381271408643,1.4636247251378125,regular-regime
triaxial_1_0p8_0p6,triaxial_nd3,0.25,20.0,5,4,0.8,complex-regular;chaotic-like;chaotic-like;chaotic-like;chaotic-like,0.6288334354690891,0.20521135205802354,0.8752939990133415,0.576275246190136,0.19003710051941075,0.8872667698533576,0.35415345971348644,0.15834012029428465,0.5283346989255424,0.6937005180757232,0.3966058249483373,0.9736736415967921,0.14326097930338214,0.10853104492680464,0.20646138313982837,0.26766960970924775,0.04201266440287844,0.37817844759776725,1.0338239560240816,0.2600920343284977,1.5123311373777393,chaotic-regime
triaxial_1_0p8_0p6,triaxial_nd3,4.0,1.0,5,0,0.0,quasi-periodic;quasi-periodic;periodic;sensitive-regular;sensitive-regular,0.3595416849182008,0.11274335699707434,0.554279146195931,0.20991918912886556,0.10865514478795218,0.32406070548942234,0.18152525588400667,0.14579043325223434,0.20091648281087693,0.9775946301295827,0.9526331427704283,0.9974126264437575,0.3286219081272085,0.07420494699646643,0.93891973750631,0.25754169013642386,0.06119163539694114,0.40204909448955956,0.9472289698051611,0.20058885134059667,1.4471801927640633,regular-regime
