name,shape_name,rho,energy_ratio,separation,repeat,status,state_mode,class_body1,class_body2,class_combined,class_consensus,class_consensus_with_combined,body1_recurrence_rate,body1_recurrence_epsilon,body1_determinism,body1_lmax_fraction,body1_mean_diag,body1_diag_entropy,body1_nearest_distance,body1_return_cv,body1_divergence_slope,body1_divergence_gain,body1_spectral_entropy,body1_peak_fraction,body1_dominant_fraction,body1_harmonicity,body1_broadband_chaos_score,body1_chaos_score,body1_class,body1_behaviour_family,body2_recurrence_rate,body2_recurrence_epsilon,body2_determinism,body2_lmax_fraction,body2_mean_diag,body2_diag_entropy,body2_nearest_distance,body2_return_cv,body2_divergence_slope,body2_divergence_gain,body2_spectral_entropy,body2_peak_fraction,body2_dominant_fraction,body2_harmonicity,body2_broadband_chaos_score,body2_chaos_score,body2_class,body2_behaviour_family,combined_recurrence_rate,combined_recurrence_epsilon,combined_determinism,combined_lmax_fraction,combined_mean_diag,combined_diag_entropy,combined_nearest_distance,combined_return_cv,combined_divergence_slope,combined_divergence_gain,combined_spectral_entropy,combined_peak_fraction,combined_dominant_fraction,combined_harmonicity,combined_broadband_chaos_score,combined_chaos_score,combined_class,combined_behaviour_family
ellipsoid_1_0p8_0p6_rho10_E0p2_sep3_run01_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.2,3.0,1,ok,quaternion,quasi-periodic,complex-regular,quasi-periodic,quasi-periodic,quasi-periodic,0.030001041702836902,1.217026329578696,0.987037037037037,0.5857142857142857,57.107142857142854,2.853218971891918,0.3613564515865566,0.0,3.0283600793583355e-05,0.004110655266818919,0.3285016110027682,0.9961138156106129,0.19875268296846235,1.0,0.1916259397516148,0.1456160802603852,quasi-periodic,regular,0.030001041702836902,2.1197497795741342,0.7074845679012346,0.8969387755102041,11.938802083333334,1.9285058415273453,0.8120130315898695,0.004040056298256885,-0.0006182345892953371,0.05709788666137726,0.3501631739189051,0.9598542447401511,0.22711347334076104,1.0,0.22661363390589362,0.19279938009397113,complex-regular,regular,0.030001041702836902,2.435861120042475,0.9819444444444444,0.3040816326530612,28.469798657718123,2.818346431716899,2.0988686675239596,0.2368547698080843,0.0008267545806906478,0.020309255092178752,0.3779646346796969,0.9764866850752701,0.16213656843351773,1.0,0.24048298576382343,0.19537556286549446,quasi-periodic,regular
ellipsoid_1_0p8_0p6_rho10_E0p2_sep3_run02_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.2,3.0,2,ok,quaternion,quasi-periodic,periodic,quasi-periodic,quasi-periodic,quasi-periodic,0.030001041702836902,1.901464394845441,0.9804012345679012,0.4122448979591837,36.93604651162791,3.0435706996983765,0.658021791466445,0.37595015283803285,0.0009977114291451995,0.030581609934923055,0.3321998765982451,0.9775529904020505,0.2395543293828138,1.0,0.20040282543604257,0.17084902496054447,quasi-periodic,regular,0.030001041702836902,1.7603151935116617,0.8883487654320987,0.9418367346938775,26.58891454965358,2.06743350648552,0.9410498551736944,0.1265246248838159,0.004141956278317435,0.16002873724242353,0.31073602759459534,0.9901021681955686,0.3232195725330288,1.0,0.18126268276351393,0.2344748092889168,periodic,periodic,0.030001041702836902,2.011599076213566,0.995679012345679,0.9428571428571428,97.02255639097744,3.1412431554542977,1.4040622356709647,0.0,2.3907325104670273e-05,0.007999673724746807,0.37586195587189236,0.9733811253944072,0.21960836840601075,1.0,0.22958069613024185,0.1755846192967857,quasi-periodic,regular
ellipsoid_1_0p8_0p6_rho10_E0p2_sep3_run03_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.2,3.0,3,ok,quaternion,quasi-periodic,quasi-periodic,quasi-periodic,quasi-periodic,quasi-periodic,0.030001041702836902,1.8774244171082866,0.8294753086419753,0.9,15.512265512265513,2.643599147725812,0.6880306806210184,0.48028791955684974,0.006686284599080739,0.24322654460162713,0.3781926778609752,0.9577675478636574,0.19801504821583837,0.9999999999999999,0.2448190195400956,0.33662392082139536,quasi-periodic,regular,0.030001041702836902,1.1118865869160013,0.9934413580246914,0.7,52.55102040816327,3.3711219819598974,0.7277281098959572,0.25665686455123726,0.002942852647424382,0.07821191450421533,0.34714394836177764,0.98997721969703,0.20949973528896992,1.0000000000000002,0.20250063654437028,0.2076840152718337,quasi-periodic,regular,0.030001041702836902,2.301400475406412,0.9973765432098766,0.9153061224489796,39.40853658536585,3.6479454880188835,1.7579386149997211,0.023918310046954567,0.0010934310622024497,0.02289684184923258,0.3903161921513621,0.9632838194208379,0.16196733781631203,1.0,0.2469877170475498,0.2035114500437091,quasi-periodic,regular
ellipsoid_1_0p8_0p6_rho10_E0p2_sep3_run04_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.2,3.0,4,ok,quaternion,complex-regular,quasi-periodic,quasi-periodic,complex-regular,quasi-periodic,0.030001041702836902,1.614246750512181,0.984645061728395,0.13877551020408163,36.88150289017341,3.8802624433574766,0.9378932091230494,0.18872345632449067,0.004627495927084096,0.09128027034370488,0.29852573400229687,0.9676591042051628,0.4723972902392393,1.0000000000000002,0.33113577374981196,0.32342640450887505,complex-regular,regular,0.030001041702836902,2.1180823668080366,0.908641975308642,0.30714285714285716,14.925221799746515,2.951824966118723,1.1076301978206828,0.4410823327603489,0.005620989148951545,0.12936321526584524,0.4050741451593532,0.8927297277758259,0.3047558435116711,0.9999999999999998,0.32835591395492025,0.34485379781379116,quasi-periodic,regular,0.030001041702836902,2.194643482644641,0.9977623456790123,0.5204081632653061,45.69257950530035,4.113272150670321,1.770976438298214,0.16003780782936772,0.002306448507495491,0.03487280052978744,0.41389484594420695,0.9148056087137413,0.2089936238716615,0.9999999999999999,0.30383367461079513,0.2610447803991404,quasi-periodic,regular
ellipsoid_1_0p8_0p6_rho10_E0p2_sep3_run05_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.2,3.0,5,ok,quaternion,periodic,quasi-periodic,quasi-periodic,periodic,quasi-periodic,0.030001041702836902,1.856470125537732,0.8465277777777778,0.9071428571428571,14.101542416452443,2.1272723613341618,0.8604811262393622,0.020606338806993103,0.0016770681036294272,0.1293380038635054,0.3230856273417183,0.9873728671349494,0.2859386172059205,1.0000000000000002,0.18846661594933567,0.20706073103764916,periodic,periodic,0.030001041702836902,1.7248565805540839,0.8479166666666667,0.9010204081632653,17.30551181102362,2.4261664105116396,0.6758287164639203,0.7281783774810008,0.011025803665941613,0.2320739985740775,0.3706634932689314,0.961603596212598,0.21049671663267483,1.0000000000000002,0.2370171744401228,0.36247417747590316,quasi-periodic,regular,0.030001041702836902,2.1597780214557267,0.9949074074074075,0.9061224489795918,125.18446601941747,3.3414981130246244,1.59498958910215,0.0,9.949892707869062e-05,0.004137103178303976,0.3613119613505741,0.9814247792582992,0.21007420999265133,1.0,0.21394328478045782,0.1629414625823207,quasi-periodic,regular
ellipsoid_1_0p8_0p6_rho10_E0p2_sep5_run01_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.2,5.0,1,ok,quaternion,quasi-periodic,periodic,quasi-periodic,quasi-periodic,quasi-periodic,0.030001041702836902,1.4746791840748767,0.9635802469135802,0.3795918367346939,24.2015503875969,3.1664351985065093,0.7752732893868324,0.36212719033808444,0.002931464734405715,0.05623024549761576,0.3809018662632731,0.9585115256910738,0.20765527648946014,0.9999999999999997,0.24573806581706595,0.23122452034856006,quasi-periodic,regular,0.030001041702836902,1.978093861548574,0.9715277777777778,0.2969387755102041,32.53488372093023,3.4291477400390504,0.37158374858645193,0.6190455355555875,0.005791766611258491,0.11409288005925285,0.3581081757114821,0.9363968665461299,0.3561366377026152,1.0,0.27011580275667996,0.2964887258516985,periodic,periodic,0.030001041702836902,2.405876074736326,0.989429012345679,0.9448979591836735,52.98760330578512,3.082930006137917,1.547518152824978,0.008273540341864229,0.0020504118150300762,0.030845973172829975,0.39544991787117084,0.9380821367196267,0.18466541472508516,1.0,0.27238388611851483,0.23371306898326877,quasi-periodic,regular
ellipsoid_1_0p8_0p6_rho10_E0p2_sep5_run02_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.2,5.0,2,ok,quaternion,periodic,quasi-periodic,quasi-periodic,periodic,quasi-periodic,0.030001041702836902,1.9731288161271134,0.9116512345679012,0.3551020408163265,15.245161290322581,2.958837989221828,1.6226660009125697,0.3019648587144328,0.008578326106170807,0.17713190262173925,0.27572415257350186,0.9754037286568717,0.5047657781674683,1.0000000000000002,0.16936910797287896,0.26936564291311166,periodic,periodic,0.030001041702836902,1.120910746692452,0.9944444444444445,0.7622448979591837,103.93548387096774,3.1467055623189637,0.6230856380967404,0.19995185792758052,0.00011817183947725943,0.0054801027407237555,0.34037729655293736,0.989328399266011,0.23180605456349335,1.0,0.19855342298921347,0.15209187366717677,quasi-periodic,regular,0.030001041702836902,2.708084919369429,0.9934413580246914,0.9387755102040817,55.97826086956522,3.8630722991683544,2.110846921764904,0.009175964642209577,0.0031399694084494425,0.05158768192372329,0.3537267203072889,0.9812376771772678,0.19041319425096925,0.9999999999999999,0.20968487379945822,0.20406513985616165,quasi-periodic,regular
ellipsoid_1_0p8_0p6_rho10_E0p2_sep5_run03_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.2,5.0,3,ok,quaternion,periodic,quasi-periodic,quasi-periodic,periodic,quasi-periodic,0.030001041702836902,1.9214356152995775,0.9377314814814814,0.8704081632653061,14.382248520710059,2.835912776570913,1.6440783368924947,0.08044446631553888,0.003574670164527126,0.06467377837368682,0.2704472324109841,0.9866588027311303,0.4672293911144895,1.0,0.15776088557307408,0.17397909356700633,periodic,periodic,0.030001041702836902,1.3815778550973827,0.9804783950617284,0.8285714285714286,47.950943396226414,3.3830845871807336,0.3671265008233938,0.7836130937640527,0.006195556335461542,0.10657122524561141,0.3601437626405892,0.9553409616227873,0.21263068315088898,0.9999999999999999,0.23644745120897726,0.2715937146338237,quasi-periodic,regular,0.030001041702836902,2.2935165874216814,0.9922839506172839,0.8877551020408163,43.2996632996633,3.785339131476391,2.048116464742894,0.3091229215886201,0.0019856138185497156,0.03164049980304247,0.38236517127366887,0.9479589760518847,0.18233155096064396,1.0,0.255971704530187,0.2211817601401049,quasi-periodic,regular
ellipsoid_1_0p8_0p6_rho10_E0p2_sep5_run04_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.2,5.0,4,ok,quaternion,complex-regular,quasi-periodic,quasi-periodic,complex-regular,quasi-periodic,0.030001041702836902,1.9697011871897714,0.9583333333333334,0.18775510204081633,16.761133603238868,3.2598464097021616,1.7642957567686262,1.385577874378894,0.0019311656657076536,0.039282073480480864,0.2433165146549352,0.9900472232518013,0.5639248123102101,0.9999999999999999,0.24525096007932445,0.21574409666591612,complex-regular,regular,0.030001041702836902,1.1501357206169454,0.968287037037037,0.7561224489795918,42.395270270270274,2.640220609845445,0.4098621971277072,0.34425481349500653,0.0006577356958158161,0.01832871565736982,0.33163428309376086,0.9913635631322641,0.21944518928742987,1.0000000000000002,0.19345333180469385,0.15790261591493346,quasi-periodic,regular,0.030001041702836902,2.267949322103345,0.9956018518518519,0.8928571428571429,58.38461538461539,3.4713724504573658,1.9211522149728355,0.00029839094111448733,2.8112142719492157e-05,0.004327235805906811,0.36293564502557435,0.9741016990995273,0.22174521157036395,1.0000000000000002,0.2213998381764497,0.16801504081069576,quasi-periodic,regular
ellipsoid_1_0p8_0p6_rho10_E0p2_sep5_run05_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.2,5.0,5,ok,quaternion,periodic,quasi-periodic,quasi-periodic,periodic,quasi-periodic,0.030001041702836902,1.9174352093618685,0.9587191358024691,0.21836734693877552,15.807888040712468,3.0626711424738446,1.7041615825811807,0.15434371058306515,0.0018496754349235647,0.08356119853656668,0.23041937376955268,0.9919958001346475,0.5649386086303717,1.0000000000000002,0.213811811569654,0.20919730004956355,periodic,periodic,0.030001041702836902,2.022128510681897,0.8740740740740741,0.8816326530612245,14.67357512953368,2.4009118755965377,0.7506745540245419,0.05778841769552565,0.0013802281941890388,0.058335747833028744,0.3484033605880825,0.976020281645398,0.24811544349616912,1.0,0.2112172655471388,0.19324914991180758,quasi-periodic,regular,0.030001041702836902,2.0307120061217976,0.9905092592592593,0.8836734693877552,48.2593984962406,3.7354856362326077,1.5766448172089091,0.010823385389718602,-5.666169864346517e-05,0.0064692187872464205,0.36805287651848073,0.97164434051632,0.19791242491405223,1.0000000000000002,0.22656920862127378,0.1725145939808539,quasi-periodic,regular
