body,recurrence_png,embedding_dim,tau,target_rr,theiler,epsilon,achieved_rr,matrix_size
1,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\ellipsoid_1_0p8_0p6_rho0p1_E0p25_sep8_run01\recurrence_body1.png,3,10,0.03,50,0.977676922,0.030000295157,1981
2,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\ellipsoid_1_0p8_0p6_rho0p1_E0p25_sep8_run01\recurrence_body2.png,3,10,0.03,50,0.932868416893,0.030000295157,1981
