family,suite,epsilon,n_runs,n_complete,n_ok,n_body_observations,group_class,repeat_classes,body_broadband_chaos_score_mean,body_chaos_score_mean,body_spectral_entropy_mean,mean_max_abs_ke_drift_pct,mean_min_separation,mean_max_impulse_global_p_drift,mean_max_impulse_global_h_drift,n_periodic,n_quasi-periodic,n_sensitive-regular,n_complex-regular,n_chaotic-like,n_chaotic,n_chaotic-candidate,n_ambiguous,n_mixed,n_incomplete
spheroid_oblate,heterogeneous_sphere,0.0001,10,10,10,20,mixed,chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;quasi-periodic;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;periodic;chaotic-like;chaotic-like;chaotic-like;periodic;quasi-periodic,0.665083708539,0.65992860606,0.478054036861,93.0359133005,7.99601187445,7.4013525656e-09,0.0430472221198,2,2,0,0,16,0,0,0,0,0
spheroid_oblate,heterogeneous_sphere,0.0003,10,10,10,20,mixed,chaotic-like;chaotic-like;quasi-periodic;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;periodic;chaotic-like;periodic;periodic;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like,0.688309804031,0.688792272911,0.477181760965,134.852736017,7.97600811837,1.25272122043e-08,0.05908039403,3,1,0,0,16,0,0,0,0,0
spheroid_oblate,heterogeneous_sphere,0.001,10,10,10,20,mixed,chaotic-like;chaotic-like;periodic;periodic;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;quasi-periodic;chaotic-like;chaotic-like,0.692648665327,0.709866930074,0.470310577857,149.669037808,7.82983778846,1.14149525572e-08,0.0489246198886,2,1,0,0,17,0,0,0,0,0
spheroid_oblate,heterogeneous_sphere,0.003,10,10,10,20,mixed,periodic;chaotic-like;periodic;chaotic-like;quasi-periodic;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;quasi-periodic;chaotic-like;chaotic-like;quasi-periodic;chaotic-like;chaotic-like;chaotic-like;chaotic-like;periodic;periodic,0.558260290456,0.554964287813,0.434676037124,148.686046798,7.61764599579,1.12288345211e-08,0.0627383874164,4,3,0,0,13,0,0,0,0,0
spheroid_oblate,heterogeneous_sphere,0.01,10,10,10,20,mixed,periodic;quasi-periodic;periodic;chaotic-like;periodic;quasi-periodic;periodic;chaotic-like;periodic;chaotic-like;chaotic-like;chaotic-like;periodic;periodic;periodic;quasi-periodic;periodic;periodic;periodic;periodic,0.349198278994,0.331491374434,0.351510582261,80.0937353116,7.64791808435,2.20584095404e-08,0.0364197595713,12,3,0,0,5,0,0,0,0,0
spheroid_oblate,heterogeneous_sphere,0.03,10,10,10,20,mixed,quasi-periodic;periodic;periodic;periodic;periodic;periodic;quasi-periodic;periodic;periodic;periodic;quasi-periodic;periodic;periodic;periodic;quasi-periodic;chaotic-like;quasi-periodic;periodic;periodic;periodic,0.180143757714,0.160461869224,0.282333492398,914.878697502,7.18520921998,0.00183938476166,4.46203540714,14,5,0,0,1,0,0,0,0,0
spheroid_oblate,heterogeneous_sphere,0.1,10,10,10,20,mixed,periodic;periodic;periodic;periodic;quasi-periodic;periodic;quasi-periodic;periodic;quasi-periodic;periodic;quasi-periodic;periodic;chaotic-like;periodic;periodic;periodic;quasi-periodic;periodic;periodic;periodic,0.176140250028,0.149375127625,0.258868512306,3.99006625316,7.27879341515,1.53439356494e-08,0.0139712538459,14,5,0,0,1,0,0,0,0,0
spheroid_oblate,heterogeneous_sphere,0.3,10,10,10,20,periodic,quasi-periodic;periodic;complex-regular;periodic;complex-regular;periodic;complex-regular;periodic;quasi-periodic;periodic;periodic;periodic;periodic;periodic;quasi-periodic;periodic;quasi-periodic;periodic;quasi-periodic;periodic,0.170007699167,0.136779572889,0.275521904311,6.34593289287,6.62168422639,7.28753943891e-09,0.00767077587742,12,5,0,3,0,0,0,0,0,0
spheroid_oblate,heterogeneous_sphere,1.0,10,10,10,20,periodic,periodic;periodic;quasi-periodic;periodic;quasi-periodic;periodic;periodic;periodic;quasi-periodic;periodic;quasi-periodic;periodic;quasi-periodic;periodic;complex-regular;periodic;quasi-periodic;periodic;periodic;periodic,0.174485465543,0.147137428793,0.274011235047,1.34760881651,6.36761039952,2.87683987624e-09,0.00901193413826,13,6,0,1,0,0,0,0,0,0
spheroid_oblate,homogeneous,0.0,10,10,10,20,mixed,chaotic-like;chaotic-like;chaotic-like;chaotic-like;periodic;periodic;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;quasi-periodic;chaotic-like;chaotic-like;chaotic-like;chaotic-like;periodic;periodic;chaotic-like;chaotic-like,0.626419618722,0.606764897665,0.461963674663,131.749700026,7.9999189168,2.02226677302e-09,0.103269332896,4,1,0,0,15,0,0,0,0,0
spheroid_oblate,homogeneous,0.0001,10,10,10,20,mixed,chaotic-like;chaotic-like;chaotic-like;quasi-periodic;quasi-periodic;chaotic-like;periodic;quasi-periodic;chaotic-like;chaotic-like;periodic;periodic;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;periodic;quasi-periodic,0.547570879208,0.532633502756,0.433652784692,101.614432914,7.9710826895,4.85105628933e-09,0.0315932058315,4,4,0,0,12,0,0,0,0,0
spheroid_oblate,homogeneous,0.0003,10,10,10,20,mixed,chaotic-like;chaotic-like;quasi-periodic;chaotic-like;periodic;periodic;periodic;periodic;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like;chaotic-like,0.664764783343,0.669179474598,0.455968615214,134.137030931,7.96950441403,7.70816972515e-09,0.0488336319788,4,1,0,0,15,0,0,0,0,0
