body,recurrence_png,embedding_dim,tau,target_rr,theiler,epsilon,achieved_rr,matrix_size
1,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\ellipsoid_1_0p8_0p6_rho0p03_E16_sep3_run02\recurrence_body1.png,3,10,0.03,50,0.919417907576,0.030000295157,1981
2,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\ellipsoid_1_0p8_0p6_rho0p03_E16_sep3_run02\recurrence_body2.png,3,10,0.03,50,1.16589430112,0.030000295157,1981
