name,shape_name,rho,energy_ratio,separation,repeat,ndiv,dt,tend,input,output,status,returncode,wall_seconds,log,message,dashboard,recurrence_metrics,postprocess_message
spheroid_1_0p7_0p7_rho0p03_E4_sep3_run02,spheroid_1_0p7_0p7,0.03,4.0,3.0,2,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E4_sep3_run02\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E4_sep3_run02\multiple_body_complete.dat,OK,0,747.866,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E4_sep3_run02\run.log,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E4_sep3_run02\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E4_sep3_run02\recurrence_metrics.csv,ok
spheroid_1_0p7_0p7_rho0p03_E4_sep8_run01,spheroid_1_0p7_0p7,0.03,4.0,8.0,1,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E4_sep8_run01\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E4_sep8_run01\multiple_body_complete.dat,OK,0,759.731,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E4_sep8_run01\run.log,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E4_sep8_run01\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E4_sep8_run01\recurrence_metrics.csv,ok
spheroid_1_0p7_0p7_rho0p03_E4_sep8_run02,spheroid_1_0p7_0p7,0.03,4.0,8.0,2,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E4_sep8_run02\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E4_sep8_run02\multiple_body_complete.dat,OK,0,785.675,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E4_sep8_run02\run.log,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E4_sep8_run02\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E4_sep8_run02\recurrence_metrics.csv,ok
spheroid_1_0p7_0p7_rho0p03_E16_sep3_run01,spheroid_1_0p7_0p7,0.03,16.0,3.0,1,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E16_sep3_run01\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E16_sep3_run01\multiple_body_complete.dat,OK,0,737.302,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E16_sep3_run01\run.log,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E16_sep3_run01\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E16_sep3_run01\recurrence_metrics.csv,ok
spheroid_1_0p7_0p7_rho0p03_E16_sep3_run02,spheroid_1_0p7_0p7,0.03,16.0,3.0,2,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E16_sep3_run02\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E16_sep3_run02\multiple_body_complete.dat,OK,0,837.000,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E16_sep3_run02\run.log,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E16_sep3_run02\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E16_sep3_run02\recurrence_metrics.csv,ok
spheroid_1_0p7_0p7_rho0p03_E16_sep8_run01,spheroid_1_0p7_0p7,0.03,16.0,8.0,1,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E16_sep8_run01\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E16_sep8_run01\multiple_body_complete.dat,OK,0,723.711,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E16_sep8_run01\run.log,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E16_sep8_run01\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E16_sep8_run01\recurrence_metrics.csv,ok
spheroid_1_0p7_0p7_rho0p03_E16_sep8_run02,spheroid_1_0p7_0p7,0.03,16.0,8.0,2,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E16_sep8_run02\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E16_sep8_run02\multiple_body_complete.dat,OK,0,838.621,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E16_sep8_run02\run.log,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E16_sep8_run02\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p03_E16_sep8_run02\recurrence_metrics.csv,ok
ellipsoid_1_0p8_0p6_rho1_E0p25_sep3_run01,ellipsoid_1_0p8_0p6,1.0,0.25,3.0,1,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\ellipsoid_1_0p8_0p6_rho1_E0p25_sep3_run01\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\ellipsoid_1_0p8_0p6_rho1_E0p25_sep3_run01\multiple_body_complete.dat,OK,0,556.211,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\ellipsoid_1_0p8_0p6_rho1_E0p25_sep3_run01\run.log,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\ellipsoid_1_0p8_0p6_rho1_E0p25_sep3_run01\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\ellipsoid_1_0p8_0p6_rho1_E0p25_sep3_run01\recurrence_metrics.csv,ok
ellipsoid_1_0p8_0p6_rho1_E0p25_sep3_run02,ellipsoid_1_0p8_0p6,1.0,0.25,3.0,2,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\ellipsoid_1_0p8_0p6_rho1_E0p25_sep3_run02\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\ellipsoid_1_0p8_0p6_rho1_E0p25_sep3_run02\multiple_body_complete.dat,OK,0,586.930,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\ellipsoid_1_0p8_0p6_rho1_E0p25_sep3_run02\run.log,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\ellipsoid_1_0p8_0p6_rho1_E0p25_sep3_run02\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\ellipsoid_1_0p8_0p6_rho1_E0p25_sep3_run02\recurrence_metrics.csv,ok
ellipsoid_1_0p8_0p6_rho1_E0p25_sep8_run01,ellipsoid_1_0p8_0p6,1.0,0.25,8.0,1,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\ellipsoid_1_0p8_0p6_rho1_E0p25_sep8_run01\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\ellipsoid_1_0p8_0p6_rho1_E0p25_sep8_run01\multiple_body_complete.dat,OK,0,587.354,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\ellipsoid_1_0p8_0p6_rho1_E0p25_sep8_run01\run.log,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\ellipsoid_1_0p8_0p6_rho1_E0p25_sep8_run01\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\ellipsoid_1_0p8_0p6_rho1_E0p25_sep8_run01\recurrence_metrics.csv,ok
