name,shape_name,rho,energy_ratio,separation,repeat,ndiv,dt,tend,input,output,status,returncode,wall_seconds,log,message,dashboard,recurrence_metrics,postprocess_message
spheroid_1_0p7_0p7_rho1_E0p25_sep3_run01,spheroid_1_0p7_0p7,1.0,0.25,3.0,1,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E0p25_sep3_run01\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E0p25_sep3_run01\multiple_body_complete.dat,OK,0,768.967,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E0p25_sep3_run01\run.log,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E0p25_sep3_run01\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E0p25_sep3_run01\recurrence_metrics.csv,ok
spheroid_1_0p7_0p7_rho1_E0p25_sep3_run01,spheroid_1_0p7_0p7,1.0,0.25,3.0,1,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E0p25_sep3_run01\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E0p25_sep3_run01\multiple_body_complete.dat,POST,,,,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E0p25_sep3_run01\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E0p25_sep3_run01\recurrence_metrics.csv,ok
spheroid_1_0p7_0p7_rho1_E0p25_sep3_run02,spheroid_1_0p7_0p7,1.0,0.25,3.0,2,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E0p25_sep3_run02\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E0p25_sep3_run02\multiple_body_complete.dat,OK,0,754.796,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E0p25_sep3_run02\run.log,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E0p25_sep3_run02\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E0p25_sep3_run02\recurrence_metrics.csv,ok
spheroid_1_0p7_0p7_rho1_E0p25_sep8_run01,spheroid_1_0p7_0p7,1.0,0.25,8.0,1,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E0p25_sep8_run01\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E0p25_sep8_run01\multiple_body_complete.dat,OK,0,675.050,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E0p25_sep8_run01\run.log,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E0p25_sep8_run01\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E0p25_sep8_run01\recurrence_metrics.csv,ok
spheroid_1_0p7_0p7_rho1_E0p25_sep8_run02,spheroid_1_0p7_0p7,1.0,0.25,8.0,2,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E0p25_sep8_run02\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E0p25_sep8_run02\multiple_body_complete.dat,OK,0,752.769,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E0p25_sep8_run02\run.log,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E0p25_sep8_run02\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E0p25_sep8_run02\recurrence_metrics.csv,ok
spheroid_1_0p7_0p7_rho1_E4_sep3_run01,spheroid_1_0p7_0p7,1.0,4.0,3.0,1,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E4_sep3_run01\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E4_sep3_run01\multiple_body_complete.dat,OK,0,764.732,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E4_sep3_run01\run.log,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E4_sep3_run01\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E4_sep3_run01\recurrence_metrics.csv,ok
spheroid_1_0p7_0p7_rho1_E4_sep3_run02,spheroid_1_0p7_0p7,1.0,4.0,3.0,2,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E4_sep3_run02\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E4_sep3_run02\multiple_body_complete.dat,OK,0,743.498,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E4_sep3_run02\run.log,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E4_sep3_run02\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E4_sep3_run02\recurrence_metrics.csv,ok
spheroid_1_0p7_0p7_rho1_E4_sep8_run01,spheroid_1_0p7_0p7,1.0,4.0,8.0,1,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E4_sep8_run01\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E4_sep8_run01\multiple_body_complete.dat,OK,0,583.100,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E4_sep8_run01\run.log,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E4_sep8_run01\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E4_sep8_run01\recurrence_metrics.csv,ok
spheroid_1_0p7_0p7_rho1_E4_sep8_run02,spheroid_1_0p7_0p7,1.0,4.0,8.0,2,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E4_sep8_run02\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E4_sep8_run02\multiple_body_complete.dat,OK,0,582.702,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E4_sep8_run02\run.log,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E4_sep8_run02\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E4_sep8_run02\recurrence_metrics.csv,ok
spheroid_1_0p7_0p7_rho1_E16_sep3_run01,spheroid_1_0p7_0p7,1.0,16.0,3.0,1,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E16_sep3_run01\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E16_sep3_run01\multiple_body_complete.dat,OK,0,604.958,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E16_sep3_run01\run.log,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E16_sep3_run01\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E16_sep3_run01\recurrence_metrics.csv,ok
spheroid_1_0p7_0p7_rho1_E16_sep3_run02,spheroid_1_0p7_0p7,1.0,16.0,3.0,2,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E16_sep3_run02\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E16_sep3_run02\multiple_body_complete.dat,OK,0,592.801,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E16_sep3_run02\run.log,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E16_sep3_run02\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E16_sep3_run02\recurrence_metrics.csv,ok
spheroid_1_0p7_0p7_rho1_E16_sep8_run01,spheroid_1_0p7_0p7,1.0,16.0,8.0,1,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E16_sep8_run01\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E16_sep8_run01\multiple_body_complete.dat,OK,0,597.346,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E16_sep8_run01\run.log,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E16_sep8_run01\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E16_sep8_run01\recurrence_metrics.csv,ok
spheroid_1_0p7_0p7_rho1_E16_sep8_run02,spheroid_1_0p7_0p7,1.0,16.0,8.0,2,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E16_sep8_run02\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E16_sep8_run02\multiple_body_complete.dat,OK,0,605.996,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E16_sep8_run02\run.log,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E16_sep8_run02\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho1_E16_sep8_run02\recurrence_metrics.csv,ok
spheroid_1_0p7_0p7_rho0p1_E0p25_sep3_run01,spheroid_1_0p7_0p7,0.1,0.25,3.0,1,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E0p25_sep3_run01\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E0p25_sep3_run01\multiple_body_complete.dat,OK,0,630.871,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E0p25_sep3_run01\run.log,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E0p25_sep3_run01\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E0p25_sep3_run01\recurrence_metrics.csv,ok
spheroid_1_0p7_0p7_rho0p1_E0p25_sep3_run02,spheroid_1_0p7_0p7,0.1,0.25,3.0,2,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E0p25_sep3_run02\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E0p25_sep3_run02\multiple_body_complete.dat,OK,0,620.450,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E0p25_sep3_run02\run.log,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E0p25_sep3_run02\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E0p25_sep3_run02\recurrence_metrics.csv,ok
spheroid_1_0p7_0p7_rho0p1_E0p25_sep8_run01,spheroid_1_0p7_0p7,0.1,0.25,8.0,1,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E0p25_sep8_run01\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E0p25_sep8_run01\multiple_body_complete.dat,OK,0,643.431,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E0p25_sep8_run01\run.log,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E0p25_sep8_run01\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E0p25_sep8_run01\recurrence_metrics.csv,ok
spheroid_1_0p7_0p7_rho0p1_E0p25_sep8_run02,spheroid_1_0p7_0p7,0.1,0.25,8.0,2,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E0p25_sep8_run02\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E0p25_sep8_run02\multiple_body_complete.dat,OK,0,637.688,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E0p25_sep8_run02\run.log,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E0p25_sep8_run02\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E0p25_sep8_run02\recurrence_metrics.csv,ok
spheroid_1_0p7_0p7_rho0p1_E4_sep3_run01,spheroid_1_0p7_0p7,0.1,4.0,3.0,1,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E4_sep3_run01\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E4_sep3_run01\multiple_body_complete.dat,OK,0,648.702,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E4_sep3_run01\run.log,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E4_sep3_run01\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E4_sep3_run01\recurrence_metrics.csv,ok
spheroid_1_0p7_0p7_rho0p1_E4_sep3_run02,spheroid_1_0p7_0p7,0.1,4.0,3.0,2,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E4_sep3_run02\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E4_sep3_run02\multiple_body_complete.dat,OK,0,662.791,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E4_sep3_run02\run.log,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E4_sep3_run02\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E4_sep3_run02\recurrence_metrics.csv,ok
spheroid_1_0p7_0p7_rho0p1_E4_sep8_run01,spheroid_1_0p7_0p7,0.1,4.0,8.0,1,2,0.05,100.0,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E4_sep8_run01\input.txt,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E4_sep8_run01\multiple_body_complete.dat,OK,0,644.500,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E4_sep8_run01\run.log,,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E4_sep8_run01\dashboard.png,C:\Users\User\Documents\multi_ellip\studies\two_body_parameter_sweep\runs\spheroid_1_0p7_0p7_rho0p1_E4_sep8_run01\recurrence_metrics.csv,ok
