shape_name,rho,energy_ratio,separation,n_runs,n_complete,n_short_or_missing,class,regime,broadband_score,mean_max_abs_ke_drift_pct,mean_max_impulse_global_p_drift,mean_max_impulse_global_h_drift,mean_max_pcon_total_drift_rel,mean_max_hcon_total_drift_rel,mean_min_separation
ellipsoid_1_0p8_0p6,0.1,0.2,5.0,5,5,0,chaotic-like,chaotic-regime,0.5743405912276488,26.9159979705,2.66863337574e-08,0.700243846324,2.66863337574e-08,0.700243846324,4.22874823821
ellipsoid_1_0p8_0p6,0.1,0.2,8.0,5,3,2,complex-regular,chaotic-regime,0.4969651693934965,4.93175081241,3.01668119178e-08,0.0536807697653,3.01668119178e-08,0.0536807697653,6.82997022076
ellipsoid_1_0p8_0p6,0.1,0.2,11.0,5,4,1,complex-regular,chaotic-regime,0.5169707806755243,3.4425341705,2.75004960151e-08,0.017392403238,2.75004960151e-08,0.017392403238,9.96511169864
ellipsoid_1_0p8_0p6,0.1,0.55,3.0,5,5,0,complex-regular,regular-regime,0.33641331584787215,106.221032893,4.75358681815e-08,2.36078040517,4.75358681815e-08,2.36078040517,2.75344911816
ellipsoid_1_0p8_0p6,0.1,0.55,5.0,5,5,0,chaotic-like,chaotic-regime,0.5796206651681897,89.2445950248,4.10484993988e-08,0.415936207948,4.10484993988e-08,0.415936207948,3.87171675602
ellipsoid_1_0p8_0p6,0.1,0.55,8.0,5,5,0,mixed,regular-regime,0.34256290357098107,35.1216357013,5.09170040052e-08,0.0839245849255,5.09170040052e-08,0.0839245849255,5.39992473299
ellipsoid_1_0p8_0p6,0.1,0.55,11.0,5,5,0,complex-regular,chaotic-regime,0.5175285595417296,1.99085688537,4.52439409078e-08,0.0340660373904,4.52439409078e-08,0.0340660373904,10.6563294049
ellipsoid_1_0p8_0p6,0.1,1.5,3.0,5,5,0,mixed,chaotic-regime,0.47964364487848776,156.059426735,4.9274815945e-08,0.482245949159,4.9274815945e-08,0.482245949159,2.73189632074
ellipsoid_1_0p8_0p6,0.1,1.5,5.0,5,5,0,mixed,chaotic-regime,0.5236524159001317,12.485628314,4.19979034988e-08,0.029921080064,4.19979034988e-08,0.029921080064,4.40648051305
ellipsoid_1_0p8_0p6,0.1,1.5,8.0,5,5,0,mixed,chaotic-regime,0.6085330157571328,34.9133514943,4.25219153115e-08,0.0328287070089,4.25219153115e-08,0.0328287070089,5.7739629899
ellipsoid_1_0p8_0p6,0.1,1.5,11.0,5,5,0,chaotic-like,chaotic-regime,0.7228935607826867,52.5008356301,3.68208827343e-08,0.123822704548,3.68208827343e-08,0.123822704548,6.51128779928
ellipsoid_1_0p8_0p6,0.1,4.0,3.0,5,5,0,complex-regular,regular-regime,0.37203612740266434,873.395265677,0.0584271812796,3.23032414213,0.0584271812796,3.23032414213,2.12346792528
ellipsoid_1_0p8_0p6,0.1,4.0,5.0,5,5,0,chaotic-like,chaotic-regime,0.7743526482860044,6.00267911438,2.24534578182e-08,0.0115401431527,2.24534578182e-08,0.0115401431527,4.78398121696
ellipsoid_1_0p8_0p6,0.1,4.0,8.0,5,5,0,chaotic-like,chaotic-regime,0.7633595552818871,6.28342763647,2.29246942782e-08,0.0155053443567,2.29246942782e-08,0.0155053443567,7.24064312174
ellipsoid_1_0p8_0p6,0.1,4.0,11.0,5,5,0,chaotic-like,chaotic-regime,0.6137960959756141,8.13736108236,4.53304417911e-08,0.00949069851168,4.53304417911e-08,0.00949069851168,9.31432685576
ellipsoid_1_0p8_0p6,0.1,11.0,3.0,5,5,0,mixed,chaotic-regime,0.5628843521687356,458.566152824,4.87156362325e-08,0.140701467235,4.87156362325e-08,0.140701467235,2.92886141673
ellipsoid_1_0p8_0p6,0.1,11.0,5.0,5,5,0,mixed,regular-regime,0.33107763885946534,58.6952077907,0.139610988831,1.99872620313,0.139610988831,1.99100032959,4.38046921545
ellipsoid_1_0p8_0p6,0.1,11.0,8.0,5,5,0,mixed,chaotic-regime,0.5016509506569609,5.69297374429,3.56024441915e-08,0.0122158419815,3.56024441915e-08,0.0122158419815,7.66464083113
ellipsoid_1_0p8_0p6,0.1,11.0,11.0,5,5,0,mixed,regular-regime,0.36141048166504514,2.02415182858,3.41008899784e-08,0.0131085363923,3.41008899784e-08,0.0131085363923,10.9084368183
ellipsoid_1_0p8_0p6,0.1,30.0,3.0,5,5,0,mixed,regular-regime,0.24921511958488743,372.276891321,1.31219819456,3.70191464769,1.31219819456,3.69544979423,2.16077897023
ellipsoid_1_0p8_0p6,0.1,30.0,5.0,5,5,0,mixed,regular-regime,0.2651745113387245,68.9669711633,0.16436363784,2.73851337705,0.16436363784,2.73851337705,4.12792774706
ellipsoid_1_0p8_0p6,0.1,30.0,8.0,5,5,0,mixed,regular-regime,0.2682622697631646,6.04827468416,1.3153455521e-07,0.0260201591424,1.3153455521e-07,0.0260201591424,7.48497103303
ellipsoid_1_0p8_0p6,0.1,30.0,11.0,5,5,0,mixed,regular-regime,0.2746379448459892,4.45414615788,1.09116927452e-07,0.0344304804034,1.09116927452e-07,0.0344304804034,9.43972394298
ellipsoid_1_0p8_0p6,0.3,0.2,3.0,5,4,1,complex-regular,regular-regime,0.3933895449388276,44.9664868466,3.56003670541e-08,1.47192421551,3.56003670541e-08,1.47192421551,2.87901341483
ellipsoid_1_0p8_0p6,0.3,0.2,5.0,5,5,0,chaotic-like,chaotic-regime,0.5822000265666583,17.0868433081,2.11154271945e-08,0.142126741629,2.11154271945e-08,0.142126741629,3.83817961661
ellipsoid_1_0p8_0p6,0.3,0.2,8.0,5,5,0,chaotic-like,chaotic-regime,0.6856754766714628,3.65009295429,2.24699054616e-08,0.626262957881,2.24699054616e-08,0.626262957881,7.12802563773
