suite,case,reference,ref_case,reference_type,ndiv,dt,t,independent,independent_value,centroid_x,centroid_y,centroid_z,orientation_marker_x,orientation_marker_y,orientation_marker_z,centroid_error,orientation_marker_error,orientation_angle_error_rad
temporal,temporal_nd3_dt0p2,False,temporal_nd3_dt0p00625,impulse_self,3,0.2,5.0,dt,0.2,0.7934490635651674,-2.873129214635021,-0.49962658448585706,0.20806852411486496,-0.9528626328858054,-0.22081732749626473,0.0002486295609531739,0.06891084813245023,0.06892449030877228
temporal,temporal_nd3_dt0p1,False,temporal_nd3_dt0p00625,impulse_self,3,0.1,5.0,dt,0.1,0.7932737937787673,-2.873189400975692,-0.49964830004636185,0.2193465145077111,-0.9423232233513168,-0.25281228076599127,6.204607296124941e-05,0.03344432077068487,0.0334458796430326
temporal,temporal_nd3_dt0p05,False,temporal_nd3_dt0p00625,impulse_self,3,0.05,5.0,dt,0.05,0.7932298911052303,-2.873204425827959,-0.4996536489513396,0.22583407555464002,-0.9364775623758017,-0.26834445305438637,1.5336338739023654e-05,0.015632008832358085,0.015632167996434486
temporal,temporal_nd3_dt0p025,False,temporal_nd3_dt0p00625,impulse_self,3,0.025,5.0,dt,0.025,0.793218908739998,-2.8732081814704653,-0.49965497769672557,0.2292868015068706,-0.9334127463486007,-0.275985882988083,3.65379775728674e-06,0.006704838702125596,0.006704851261124815
temporal,temporal_nd3_dt0p0125,False,temporal_nd3_dt0p00625,impulse_self,3,0.0125,5.0,dt,0.0125,0.7932161613479463,-2.8732091179404162,-0.49965530310410666,0.23106492717199267,-0.9318450935973708,-0.27977441085544097,7.330779449935421e-07,0.002235856831147728,0.002235857296802507
temporal,temporal_nd3_dt0p00625,True,,impulse_self,3,0.00625,5.0,dt,0.00625,0.7932154709801714,-2.873209354295472,-0.4996553733315687,0.23196686723940718,-0.9310524876360118,-0.28166050090477596,nan,nan,nan
grid,grid_nd1_dt0p05,False,grid_nd4_dt0p05,impulse_self,1,0.05,5.0,h,0.5,0.79365120883658,-2.8750383208247263,-0.4989872039347063,0.22872123598086805,-0.9378625597822984,-0.2609605624801934,0.0021605953514996917,0.01159379537682248,0.011593860310827979
grid,grid_nd2_dt0p05,False,grid_nd4_dt0p05,impulse_self,2,0.05,5.0,h,0.25,0.7929063189787274,-2.8734531816205853,-0.49910117797752007,0.22175796089391694,-0.9393396034536463,-0.2616572494002759,0.0010600933702519008,0.013233562099561821,0.013233658666300335
grid,grid_nd3_dt0p05,False,grid_nd4_dt0p05,impulse_self,3,0.05,5.0,h,0.125,0.7932298911052303,-2.873204425827959,-0.4996536489513396,0.22583407555464002,-0.9364775623758017,-0.26834445305438637,0.00037620960455473,0.004899496923317432,0.004899501823850057
grid,grid_nd4_dt0p05,True,,impulse_self,4,0.05,5.0,h,0.0625,0.7934321947721078,-2.8731214835428784,-0.4999597983760864,0.22842938530469256,-0.9347551858654239,-0.2721263648142478,nan,nan,nan
