time,ke_total,ke_fluid,ke_solid,ke_lin_solid,ke_rot_solid,px_1,py_1,pz_1,vx_1,vy_1,vz_1,q1_1,q2_1,q3_1,q0_1,w1_1,w2_1,w3_1,w0_1,ofix1_1,ofix2_1,ofix3_1,ke_lin_1,ke_rot_1,ke_1,lfluid_x_1,lfluid_y_1,lfluid_z_1,lambdafluid_x_1,lambdafluid_y_1,lambdafluid_z_1,pcon_x_1,pcon_y_1,pcon_z_1,hcon_x_1,hcon_y_1,hcon_z_1,px_2,py_2,pz_2,vx_2,vy_2,vz_2,q1_2,q2_2,q3_2,q0_2,w1_2,w2_2,w3_2,w0_2,ofix1_2,ofix2_2,ofix3_2,ke_lin_2,ke_rot_2,ke_2,lfluid_x_2,lfluid_y_2,lfluid_z_2,lambdafluid_x_2,lambdafluid_y_2,lambdafluid_z_2,pcon_x_2,pcon_y_2,pcon_z_2,hcon_x_2,hcon_y_2,hcon_z_2,impulse_global_p_drift,impulse_global_h_drift,impulse_body_p_drift_max,impulse_body_h_drift_max,impulse_pair_metric_pairs,impulse_pair_metric_load_norm,jdisc_px,jdisc_py,jdisc_pz,jdisc_hx,jdisc_hy,jdisc_hz,jdisc_drift,impulse_var_defect_norm,impulse_var_metric_cos,impulse_var_metric_scale,impulse_var_pressure_cos,impulse_var_pressure_scale,impulse_var_pair_cos,impulse_var_pair_scale
0, 270.5947671186478, 72.15459636472893, 198.44017075391884, 132.2934471692792, 66.14672358463962, -4, 0, 0, 4.682552161197158, -2.187637580659362, -2.206961974489056, 0.7106704697298383, -0.013371280018637301, -0.4447250326500183, -0.5449663637868621, 4.624241326957124, 0.5640025163521346, 4.216243697412154, 0, 0.6040817084102068, 0.46571522015307953, -0.6466796914098776, 66.14672358463962, 33.0733617923198, 99.22008537695942, -10.671390921179801, 5.03127703665335, 5.075729698448769, -0.0000036470388708130404, -0.0000004446503874083426, -0.000003337811838888472, 30.285619547403797, -14.194831906141882, -14.320230399524558, 7.7479943570094365, -56.335925867059565, 63.843715082664325, 4, 0, 0, 4.682552161197157, -2.1876375806593615, -2.206961974489055, 0.7118877588373588, 0.5221328329923183, -0.3402303844509979, 0.323784510168823, -5.654055238424359, -1.6994438908146903, 2.1498761422873014, 0, 0.2232411804154841, 0.5230772878405714, -0.822528738897343, 66.1467235846396, 33.073361792319815, 99.22008537695942, -10.671390817370492, 5.031288310619142, 5.075721921892295, 0.000004472047091839753, 0.0000013362481512506623, -0.0000018170112420881114, 30.285619443594484, -14.194843180107672, -14.320222622968078, -9.473464952060345, 54.4334435862527, -53.17721885289264, 0, 0, 0, 0, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
0.05, 270.6752916111643, 72.15460018736609, 198.5206914237982, 132.2934297579198, 66.22726166587842, -3.7658723829557994, -0.10938184564847715, -0.11034808818553549, 4.682552520570875, -2.1876362452797244, -2.206961552932363, 0.6343693454839158, 0.10504049214967535, -0.5079701169545612, -0.5731565133542772, 4.624274588104254, 0.5576395194358805, 4.222584937783638, -0.0000000000000002220446049250313, 0.6040817084102068, 0.46571522015307953, -0.6466796914098776, 66.14671449957652, 33.11247106228139, 99.2591855618579, -10.671389415613135, 5.031282631532451, 5.075731464671529, -0.0000036527403057886272, -0.00000044959020527586915, -0.0000032830634430985146, 30.28561954717824, -14.194831907395837, -14.320230399934774, 7.748050760457921, -56.33578596490792, 63.84363467700984, 4.234127573610901, -0.10938191158105043, -0.11034811703544219, 4.68255078323888, -2.1876388825826547, -2.2069627069286324, 0.6439815608824874, 0.4922290209531178, -0.3620023414746436, 0.4603831501497052, -5.654098312107582, -1.705822180337641, 2.156203276875051, -0.0000000000000007771561172376096, 0.2232411804154841, 0.5230772878405714, -0.822528738897343, 66.14671525834328, 33.11479060359704, 99.26150586194032, -10.671396590555933, 5.0312828559052685, 5.075718853178398, 0.000004471154560640469, 0.0000012868369415674021, -0.0000017734542999925341, 30.285619444801792, -14.194843178877338, -14.320222622289911, -9.473538013526994, 54.433554603419246, -53.177322918743194, 0.00000000001398883298163267, 0.00002842652441735261, 0.000000000050911555280915455, 0.0000022011809968045384, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
0.1, 270.7560952214395, 72.15460285465755, 198.601492366782, 132.2934173820282, 66.3080749847538, -3.531744752013976, -0.21876363483805106, -0.22069615840070295, 4.682552717102055, -2.1876353223032323, -2.2069612556743348, 0.54249332298921, 0.22105358171259273, -0.5586821567253316, -0.5871205636672, 4.6243083066099455, 0.5512761295227464, 4.228927358081255, -0.0000000000000002220446049250313, 0.4618657105802469, 0.7155616987522773, -0.5240720567526557, 66.14670714864428, 33.15172708785447, 99.29843423649875, -10.671388592208748, 5.0312864990027855, 5.075732710276303, -0.000003650621390376221, -0.0000004841402099643841, -0.000003250381851231405, 30.285619547001737, -14.194831908711283, -14.32023040038803, 7.74810736878837, -56.33564594827877, 63.84355436283147, 4.468255083941866, -0.2187638797304619, -0.22069627615403312, 4.682549629999737, -2.1876398433938045, -2.2069636578150047, 0.560178415252975, 0.4502178703397948, -0.3746751247493119, 0.5857666456921674, -5.654141648925892, -1.7121991641004688, 2.1625288914442264, 0.000000000000000485722573273506, 0.2533297913968213, 0.3006532697907633, -0.9194735603349155, 66.14671023338391, 33.15634789689934, 99.30305813028326, -10.671401422798771, 5.031278829898386, 5.075714868788865, 0.000004466378855224923, 0.0000012556854221293194, -0.000001699802816614482, 30.285619446367804, -14.194843177506787, -14.3202226209639, -9.473611299277318, 54.4336656058933, -53.17742694850199, 0.0000000000361637902981096, 0.00005685358516917031, 0.00000000011812893955058312, 0.000004403212672845023, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
0.15000000000000002, 270.83718610545844, 72.15460072090396, 198.6825853845545, 132.2934263920185, 66.38915899253603, -3.297617113256997, -0.3281454060324105, -0.3310442190874875, 4.68255283317711, -2.187635525471144, -2.206961171797046, 0.43728131585485014, 0.33178932528363714, -0.5956114174506544, -0.5864707442272817, 4.624342221639579, 0.5449125628429483, 4.235270188639202, -0.00000000000000011102230246251565, 0.27801912353753216, 0.89586774973863, -0.3465924724019059, 66.14671051170232, 33.191122633983724, 99.33783314568605, -10.671388103937183, 5.0312856444606116, 5.075733063142125, -0.000003641306550433273, -0.0000005227758048693813, -0.0000032840725542982536, 30.285619544944222, -14.19483190519687, -14.320230401909487, 7.74816417851836, -56.33550582590021, 63.84347412929328, 4.702382568686656, -0.3281458718888027, -0.331044467442529, 4.682549759791863, -2.1876398429398254, -2.2069639937248295, 0.46253569157831326, 0.3970881635591855, -0.37791832219496874, 0.696820971359721, -5.654185058254598, -1.7185753272292466, 2.16885386257577, 0.0000000000000004475586568020162, 0.31384484024157483, 0.06546028415363361, -0.9472150587127857, 66.14671588031617, 33.1980363585523, 99.34475223886847, -10.671400876812424, 5.0312788318671275, 5.075713455944511, 0.0000044600118153522935, 0.0000012608977232751641, -0.000001632339830959709, 30.285619444053445, -14.194843177573905, -14.32022261517533, -9.473684819690096, 54.43377658563724, -53.1775309668948, 0.00000000009254338144402302, 0.00008528194163651995, 0.00000000022557190936557714, 0.0000066062862683480945, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
0.2, 270.9185738730424, 72.15459096193433, 198.7639829111081, 132.29346910009718, 66.4705138110109, -3.0634894633300687, -0.437527211450799, -0.4413922879951878, 4.682553163900024, -2.187636691264394, -2.206961584510967, 0.3213057474039878, 0.43448822664234726, -0.6178455353931103, -0.5711825382390062, 4.624376028399671, 0.5385491324839324, 4.241612528584442, 0.00000000000000033306690738754696, 0.07032576606050217, 0.9887878880183465, -0.1317300236704646, 66.14673149671465, 33.23064923793845, 99.3773807346531, -10.67138671811091, 5.031280759868427, 5.075731333880343, -0.000003633574994477071, -0.0000005224932130354148, -0.000003366969965487522, 30.28561954444685, -14.19483190386803, -14.320230401419733, 7.748221181089542, -56.335365596412274, 63.843394009446314, 4.936510098021999, -0.4375278516057757, -0.4413926504718753, 4.682551413621853, -2.187639345739093, -2.2069633274490212, 0.3534582003328156, 0.3341061503186127, -0.3716381787304506, 0.7907752177747339, -5.654228578064531, -1.7249519889492733, 2.175179413666995, -0.000000000000000027755575615628914, 0.3989974642210667, -0.15934792803424766, -0.9030001447266498, 66.14673760338252, 33.239864573072445, 99.38660217645497, -10.671393947387442, 5.0312809151448805, 5.07571624759956, 0.000004454877527148868, 0.0000012989146738468633, -0.0000016019691259396143, 30.285619442175324, -14.1948431781821, -14.3202226159408, -9.473758586026918, 54.43388761582075, -53.17763498923189, 0.00000000010918395216847389, 0.00011371620670930032, 0.00000000020402592729328635, 0.000008811218425516067, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
0.25, 271.00025048060894, 72.15457751660935, 198.8456729639996, 132.29352787991547, 66.55214508408412, -2.829361791800918, -0.5469090765194735, -0.5517403894035686, 4.682553697266002, -2.1876379114825886, -2.2069624718242666, 0.19741040387561487, 0.5265790673574661, -0.6248328837595171, -0.5415971617682035, 4.624409709494752, 0.5321861897330074, 4.247954050384919, -0.00000000000000008673617379884035, -0.1410262493920218, 0.9850122910900544, 0.09930953319768046, 66.1467613425833, 33.270304726937795, 99.4170660695211, -10.671384483514183, 5.031275647931685, 5.075727616570902, -0.0000036345847139553844, -0.0000004732292082608989, -0.000003430117686854903, 30.285619544008306, -14.194831903169309, -14.320230400879552, 7.7482783745232835, -56.33522527387433, 63.84331400126935, 5.170637722385398, -0.546909812945433, -0.5517407870871933, 4.682553560914103, -2.1876391078471964, -2.206962137163697, 0.235639784246504, 0.26278605372941355, -0.35598084466937086, 0.8652716453658149, -5.654272484685276, -1.731330268662019, 2.181506069212153, 0.0000000000000004440892098500626, 0.5005162888583807, -0.3515794062144709, -0.7911228512142181, 66.14676653733218, 33.28184035714632, 99.4286068944785, -10.671384951585296, 5.031281911801519, 5.075721234159993, 0.000004453090028954702, 0.0000013533972677619527, -0.0000016198877195365644, 30.285619440929924, -14.194843178359495, -14.320222616645726, -9.473832607907857, 54.433998685177116, -53.17773901634819, 0.0000000001257140899324941, 0.00014215473992077582, 0.00000000019459546701756798, 0.000011017976359620683, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
0.3, 271.0821883764268, 72.15456998490387, 198.92761839152294, 132.2935608737746, 66.63405751774835, -2.5952340998768615, -0.6562909837517551, -0.662088532972877, 4.682553979696271, -2.187638377808675, -2.206963270948066, 0.06864128774604676, 0.6057437894908271, -0.6163971332585574, -0.4984148966679157, 4.624443498225962, 0.5258238967846443, 4.254295088943358, 0.00000000000000033306690738754696, -0.335403293612586, 0.8847198055661565, 0.3236904327792398, 66.14677854294646, 33.31009339711086, 99.45687194005733, -10.671383299881603, 5.031273693791416, 5.075724267805986, -0.00000364243505245014, -0.00000041049038833215973, -0.000003423654038959748, 30.28561954341687, -14.194831902371185, -14.320230399476578, 7.748335760004601, -56.3350848586824, 63.843234101122825, 5.404765430768005, -0.656291768644213, -0.6620888719857607, 4.682554774390153, -2.1876391201040066, -2.2069612587789966, 0.11199745507451189, 0.18485428003026902, -0.33132961006415423, 0.9184259113864655, -5.654316929897778, -1.7377101801791468, 2.1878335140262126, -0.00000000000000005551115123125783, 0.6084422563876064, -0.49219456436397957, -0.6225291410468355, 66.14678233082813, 33.323964120637484, 99.47074645146562, -10.671379866497553, 5.031281860464234, 5.075724915067895, 0.000004455608716868659, 0.0000014041153607358451, -0.0000016789934646061194, 30.285619438838776, -14.194843178363413, -14.320222618184399, -9.473906882404485, 54.43410979930218, -53.17784304329453, 0.00000000015680365647403372, 0.00017059783902666505, 0.00000000019149360426738703, 0.000013226554377399882, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
0.35, 271.16436502567933, 72.15457469022091, 199.0097903354584, 132.29354095211073, 66.71624938334767, -2.361106409868131, -0.7656728931872754, -0.7724366990805599, 4.682553620652956, -2.187637999612136, -2.206963373359251, -0.06182785165066178, 0.6699764887625159, -0.5927425979976289, -0.4426793803473745, 4.624477576338615, 0.5194620687441054, 4.260636164215535, 0.00000000000000033306690738754696, -0.49374192879215056, 0.6976010944685681, 0.5192028705129267, 66.14676898170147, 33.35002017144052, 99.49678915314199, -10.671384805133606, 5.031275279267735, 5.075723838468961, -0.000003649778916410099, -0.00000037404596410113024, -0.000003365747823850444, 30.285619544711757, -14.194831903661543, -14.320230399118522, 7.748393340521224, -56.33494435270273, 63.84315431158216, 5.63889316261475, -0.7656737155534178, -0.7724369305053508, 4.682554499479654, -2.1876387562641852, -2.206961082004605, -0.014400330477362295, 0.10220816881905356, -0.2982961291985851, 0.9488759349956876, -5.654361668443579, -1.7440907704441833, 2.194161307306052, 0.00000000000000005551115123125783, 0.7120991692984527, -0.5671969803389432, -0.41376606745700845, 66.14677197040928, 33.366229211907154, 99.51300118231643, -10.671381019058941, 5.0312833857584796, 5.075725656152092, 0.000004461823990256588, 0.0000014296117361492337, -0.0000017583117089468544, 30.285619439857754, -14.19484317960898, -14.320222618797757, -9.47398140483743, 54.43422092987314, -53.17794707051532, 0.00000000011591494678795951, 0.00019904314251074752, 0.0000000001545108426961004, 0.000015436689560057386, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
0.39999999999999997, 271.2467875774167, 72.15458777649825, 199.09219980091845, 132.29348486435796, 66.79871493656049, -2.1269787490302936, -0.8750547738615186, -0.8827848539512623, 4.682552812860534, -2.187637227357592, -2.206962821468845, -0.19077349598996712, 0.7176350023700234, -0.5544501927638896, -0.3757531907319323, 4.624511926138867, 0.5131003320525851, 4.266977568291306, -0.0000000000000004440892098500626, -0.6004245659510565, 0.4419434380608863, 0.666465556617451, 66.14674095892182, 33.390086666292504, 99.53682762521433, -10.671388190123881, 5.0312785151955755, 5.075726151064872, -0.000003652958303189601, -0.0000003651703840046219, -0.0000033140222196063657, 30.285619546029046, -14.194831904777114, -14.320230399961305, 7.748451120571238, -56.33480374653983, 63.84307462148754, 5.873020858839253, -0.8750556312849086, -0.8827849915958845, 4.682553349500496, -2.1876378729954453, -2.2069613616167465, -0.14040950575886857, 0.01687022591231208, -0.2577058044208126, 0.9558181231479346, -5.654406262781188, -1.7504710308067295, 2.2004893703954136, 0, 0.8011458190635938, -0.5690356998147641, -0.18537461782359776, 66.14674390543614, 33.408628270267975, 99.55537217570412, -10.671385837882028, 5.03128708687494, 5.0757244844646445, 0.00000446919959066763, 0.000001413732740937243, -0.0000018254323825752771, 30.285619441659406, -14.194843180897996, -14.320222618346907, -9.47405617088381, 54.43433205971663, -53.178051096378354, 0.00000000007374209727505116, 0.00022749055403302395, 0.00000000013940045912949602, 0.000017648199910033624, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
0.44999999999999996, 271.3294873128257, 72.1545989070064, 199.1748884058193, 132.2934370386551, 66.8814513671642, -1.8928511245194013, -0.98443661683388, -0.9931329823125918, 4.682552167575158, -2.187636491536862, -2.2069623129843383, -0.3150019449493882, 0.7474837570561284, -0.5024640574535753, -0.29928527959565204, 4.624546493666617, 0.5067384917172213, 4.273319382064966, -0.0000000000000006661338147750939, -0.6448300257650761, 0.14286138157213754, 0.7508560870946652, 66.14671685872797, 33.43029288480932, 99.57700974353729, -10.671390894383016, 5.031281598719423, 5.075728281956103, -0.0000036546960538257588, -0.00000035448590433777923, -0.000003300418639725844, 30.28561954732312, -14.194831906102294, -14.320230400917616, 7.748509100223758, -56.33466303328812, 63.84299502994006, 6.107148499492879, -0.9844375093740158, -0.9931330678474646, 4.682552276644508, -2.18763725056884, -2.206961688446457, -0.2628884815568587, -0.06906109255862344, -0.21057767714190614, 0.939029953541876, -5.654450552201398, -1.7568505648394208, 2.206817670348291, 0.0000000000000004996003610813204, 0.866606227690979, -0.49737723677643575, 0.0401189539226603, 66.14672017992714, 33.451158482354884, 99.59787866228203, -10.671390333894289, 5.031289695201918, 5.075723114807361, 0.0000044740387320062885, 0.0000013603510471761122, -0.0000018468325886285839, 30.285619443703013, -14.194843182010505, -14.320222617710712, -9.47413117814599, 54.43444318711019, -53.17815512118954, 0.00000000005895678596848919, 0.0002559405115128803, 0.00000000015369965009442103, 0.000019861062234551763, 0, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN, NaN
