shape_x,shape_y,shape_z,req,axis_x,axis_y,axis_z,ndiv,triangles,nodes,sampled_faces,rms_abs_distance,surface_l2_abs_distance,surface_l1_abs_distance,p95_abs_distance,max_abs_distance,normal_rms_angle_rad,normal_p95_angle_rad,normal_max_angle_rad
1.0,0.8,0.6,1.0,1.2771823873225885,1.0217459098580708,0.7663094323935531,0,8,18,200,0.07085458896259905,0.07211387117340727,0.06370324677254753,0.1136495355615567,0.12128675330978372,0.21683744029687413,0.3573315469406786,0.40448523701467365
1.0,0.8,0.6,1.0,1.2771823873225885,1.0217459098580708,0.7663094323935531,1,32,66,800,0.010937595581879893,0.011463507468624816,0.010243315632754019,0.01898087076442352,0.022891360796887958,0.043250419408306186,0.0787077757346338,0.09101866091689892
1.0,0.8,0.6,1.0,1.2771823873225885,1.0217459098580708,0.7663094323935531,2,128,258,3200,0.0019329369433767802,0.0020277587968800387,0.0018742832645471778,0.0032300774869002164,0.004622560620914718,0.008774867069483255,0.015868029619317967,0.02448793745060353
1.0,0.8,0.6,1.0,1.2771823873225885,1.0217459098580708,0.7663094323935531,3,512,1026,12800,0.00042417658052115964,0.0004406822519586891,0.00042103482787977573,0.0006460042333149485,0.00090423690127886,0.001984234419543296,0.0037007379805639655,0.00677255847388165
1.0,0.8,0.6,1.0,1.2771823873225885,1.0217459098580708,0.7663094323935531,4,2048,4098,51200,0.00010209212024052821,0.00010568523255342693,0.00010219088405095433,0.00014878712996586999,0.00019230715040603746,0.00048049983652768144,0.0008811805409902384,0.0017074340076308665
