index,name,shape_name,rho,energy_ratio,separation,repeat,solver_mode,ndiv,dt,tend,input,output
11,ellipsoid_1_0p8_0p6_rho10_E0p2_sep8_run01_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.2,8.0,1,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep8_run01_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep8_run01_impulse_noproj/multiple_body_complete.dat
12,ellipsoid_1_0p8_0p6_rho10_E0p2_sep8_run02_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.2,8.0,2,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep8_run02_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep8_run02_impulse_noproj/multiple_body_complete.dat
13,ellipsoid_1_0p8_0p6_rho10_E0p2_sep8_run03_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.2,8.0,3,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep8_run03_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep8_run03_impulse_noproj/multiple_body_complete.dat
14,ellipsoid_1_0p8_0p6_rho10_E0p2_sep8_run04_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.2,8.0,4,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep8_run04_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep8_run04_impulse_noproj/multiple_body_complete.dat
15,ellipsoid_1_0p8_0p6_rho10_E0p2_sep8_run05_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.2,8.0,5,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep8_run05_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep8_run05_impulse_noproj/multiple_body_complete.dat
16,ellipsoid_1_0p8_0p6_rho10_E0p2_sep11_run01_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.2,11.0,1,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep11_run01_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep11_run01_impulse_noproj/multiple_body_complete.dat
17,ellipsoid_1_0p8_0p6_rho10_E0p2_sep11_run02_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.2,11.0,2,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep11_run02_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep11_run02_impulse_noproj/multiple_body_complete.dat
18,ellipsoid_1_0p8_0p6_rho10_E0p2_sep11_run03_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.2,11.0,3,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep11_run03_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep11_run03_impulse_noproj/multiple_body_complete.dat
19,ellipsoid_1_0p8_0p6_rho10_E0p2_sep11_run04_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.2,11.0,4,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep11_run04_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep11_run04_impulse_noproj/multiple_body_complete.dat
20,ellipsoid_1_0p8_0p6_rho10_E0p2_sep11_run05_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.2,11.0,5,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep11_run05_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p2_sep11_run05_impulse_noproj/multiple_body_complete.dat
21,ellipsoid_1_0p8_0p6_rho10_E0p55_sep3_run01_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.55,3.0,1,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep3_run01_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep3_run01_impulse_noproj/multiple_body_complete.dat
22,ellipsoid_1_0p8_0p6_rho10_E0p55_sep3_run02_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.55,3.0,2,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep3_run02_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep3_run02_impulse_noproj/multiple_body_complete.dat
23,ellipsoid_1_0p8_0p6_rho10_E0p55_sep3_run03_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.55,3.0,3,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep3_run03_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep3_run03_impulse_noproj/multiple_body_complete.dat
24,ellipsoid_1_0p8_0p6_rho10_E0p55_sep3_run04_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.55,3.0,4,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep3_run04_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep3_run04_impulse_noproj/multiple_body_complete.dat
25,ellipsoid_1_0p8_0p6_rho10_E0p55_sep3_run05_impulse_noproj,ellipsoid_1_0p8_0p6,10.0,0.55,3.0,5,impulse_noproj,2,0.05,100.0,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep3_run05_impulse_noproj/input.txt,studies/two_body_paper_sweeps/runs/ellipsoid_1_0p8_0p6/ellipsoid_1_0p8_0p6_rho10_E0p55_sep3_run05_impulse_noproj/multiple_body_complete.dat
